ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
MCI,IAH,EV,34569,99268,Kansas City International Airport,Kansas City,MCI,MO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
GRK,IAH,EV,1461,99268,Robert Gray  Army Air Field Airport,Killeen,GRK,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
BOI,IAH,OO,12310,99268,Boise Air Terminal/Gowen field,Boise,BOI,ID,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SJC,IAH,UA,32808,99268,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
OMA,IAH,EV,13645,99268,Eppley Airfield,Omaha,OMA,NE,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DFW,IAH,EV,67470,99268,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DFW,IAH,UA,67470,99268,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DFW,IAH,AA,67470,99268,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PHX,IAH,UA,115923,99268,Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ,George Bush Intercontinental Houston Airport,Houston,IAH,TX
PHX,IAH,AA,115923,99268,Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ,George Bush Intercontinental Houston Airport,Houston,IAH,TX
AMA,IAH,EV,2300,99268,Rick Husband Amarillo International Airport,Amarillo,AMA,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LAS,IAH,UA,120446,99268,McCarran International Airport,Las Vegas,LAS,NV,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LAS,IAH,F9,120446,99268,McCarran International Airport,Las Vegas,LAS,NV,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LAS,IAH,NK,120446,99268,McCarran International Airport,Las Vegas,LAS,NV,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LIT,IAH,EV,6561,99268,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,LIT,AR,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SAN,IAH,UA,60051,99268,San Diego International Airport,San Diego,SAN,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SAN,IAH,NK,60051,99268,San Diego International Airport,San Diego,SAN,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SLC,IAH,OO,88398,99268,Salt Lake City International Airport,Salt Lake City,SLC,UT,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SLC,IAH,DL,88398,99268,Salt Lake City International Airport,Salt Lake City,SLC,UT,George Bush Intercontinental Houston Airport,Houston,IAH,TX
MIA,IAH,UA,17748,99268,Miami International Airport,Miami,MIA,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
BWI,IAH,NK,79861,99268,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,BWI,MD,George Bush Intercontinental Houston Airport,Houston,IAH,TX
HNL,IAH,UA,36100,99268,Honolulu International Airport,Honolulu,HNL,HI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
